,title,area,numberOfRooms,price,town,district
0,Beylik Pazarı Yanı Metrobüse Yürüme Mesafesinde Süper Lokasyon !,210,3+1,2.190.000,Beylikdüzü,Gürpınar
1,BEYLİKDÜZÜ AKVA YAPI'DAN METROYA YAKIN 2+1 ARAKAT FIRSAT DAİRE,120,2+1,589.900,Beylikdüzü,Kavaklı
2,BAŞAKŞEHİR METRO GÜZERGAHINDA 3+1 YENİ 2. KAT LÜX SATILIK DAİRE,148,3+1,1.420.000,Başakşehir,Bahçeşehir
3,B.DÜZÜ SONSUZ'DAN EMSALİNİN ALTINDA HAFTANIN FIRSAT 3+1 DAİRESİ,145,3+1,1.418.000,Beylikdüzü,Kavaklı
4,BEYLİKDÜZÜ MEHAL YAPIDAN 3+1 MERKEZİ KONUMDA SATILIK DAİRE !!!,145,3+1,1.250.000,Beylikdüzü,Kavaklı
5,ACİL SONFİYAT EMSALSİZ ULTRA LÜKS KADIKÖY SÜPERKONUM SATILIK 3+1,134,3+1,4.715.000,Kadıköy,Caferağa
6,"120 AY 0,99! KOMİSYON & T.HARCI YOK / HALKALI'DA SIFIR SİTE İÇİ",112,2+1,2.300.000,Küçükçekmece,Halkalı
7,BEYLİKDÜZÜ KARVEN'DEN SİTE İÇİ FULL KONSEPT DAİRE,100,2+1,950.000,Beylikdüzü,Kavaklı
8,ÖZEL FİYAT! SIFIR BAHÇE KAT KOMİSYON & T. HARCI YOK SON 7 GÜN!,106,2+1,1.813.500,,
9,ÖZEL FİYAT! HERKES ARTIRDI BİZ İNDİRDİK! KOMİSYONSUZ/ SON 5 GÜN,117,3+1,2.500.000,Bağcılar,Güneşli
10,BAHÇEŞEHİR SPRADON KULE**SATILIK TAM KAT 8+2 DUBLEKS DAİRELER***,596,8+2,16.092.000,Başakşehir,Bahçeşehir
11,ÖZEL FİYAT! GÖZTEPE MERDİVENKÖY'DE KOMİSYON & T.HARCI YOK,122,3+1,3.999.999,Kadıköy,Göztepe
12,EMLAK CITYDEN SUADİYE'DE İÇİ FULL YAPILI 3+1-140 M2 ULTRA LUX,140,3+1,4.450.000,Kadıköy,Suadiye
13,للبيع العاجل في بيليك دوزو اطلالة بحرية كاملة ضمن مجمع سكني,160,3+1,1.720.000,Beylikdüzü,Gürpınar
14,DAG YAPIDAN METROBÜSE 10DK MESAFEDE SATILIK 2+1 DAİRE,100,2+1,695.000,,
15,Merkezi (Pay Ölçer) Geniş Daire Acil! Emlak Ofisinden 2+1 Kaçırılmayacak Fırsat!,112,2+1,695.000,Beylikdüzü,Gürpınar
16,DAG YAPI'DAN SATILIK MUHTEŞEM ŞEHİR MANZARALI SİTE İÇİ DAİRE,125,2+1,1.279.000,Beylikdüzü,Kavaklı
17,"Novella 2,5+1 Geniş Balkon ( Fırsat 7 Gün Geçerli Fiyat )",102,2+1,1.825.000,Pendik,Yenişehir
18,"6.000 TL KİRA GARANTİLİ,İ­SKANLI,ÇİFT CEPHELİ,CADDEYE YAKIN",75,2+1,920.000,Kağıthane,Gültepe
19,BEYLİKDÜZÜ BAŞKENT YAPI'DAN %50 PEŞİNAT 60 AY TAKSİT FAİZ YOK,115,2+1,948.000,Beylikdüzü,Kavaklı
20,BEYLİKDÜZÜ SONSUZ'DAN ACİL SATILIK 2+1 120M2 DÜZ GİRİŞ DAİRE!!!,120,2+1,499.999,Beylikdüzü,Kavaklı
21,GÜZEL İNŞAAT'TAN ARAKAT 2+1 KAÇIRILMAYACAK FIRSAT DAİRE,120,2+1,1.369.000,Beylikdüzü,Gürpınar
22,ÖNCÜ GRUP TAN AİLE VE YENİ EVLENECEKLERE MÜJDE LÜX 2+1 DAİRE !,100,2+1,899.900,Beylikdüzü,Kavaklı
